bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Vila dos Remédios,110,3,3,2,545000.0,0.545,4954.545454545455,Rua Domingos de Braga,5102090.0,355030.840000032,JAGUARA,1.0,0.0,337.0,985.0,2.92,1.42,2100.62,5267057.21,2424.35,5294028.28,1687.35,3805943.05,2219.79,3825031.03
Brooklin Paulista,180,3,3,3,1100000.0,1.1,6111.111111111111,Rua Kansas,4558000.0,355030.835000031,ITAIM BIBI,1.0,0.0,265.0,748.0,2.82,1.91,3584.98,18105841.67,4008.52,18549020.17,2550.52,13516485.87,3230.03,14925299.55
Tremembé,151,3,3,8,520000.0,0.52,3443.708609271523,Rua Comendador Armando Pereira,2357090.0,355030.838000027,JABAQUARA,1.0,0.0,264.0,790.0,2.99,2.03,3000.45,10519340.26,3155.86,10573957.73,1741.21,5976007.07,2321.61,6621752.05
Vila Minerva,170,3,2,2,325000.0,0.325,1911.764705882353,Rua Santo Adauto,8441350.0,355030.896000034,LAJEADO,1.0,0.0,141.0,473.0,3.35,2.57,866.21,562061.39,992.97,518086.41,534.15,402854.38,911.59,343200.05
Vila Mazzei,211,4,7,8,890000.0,0.89,4218.009478672986,Rua dos Maracujás,2315020.0,355030.88100013,TREMEMBÉ,1.0,0.0,143.0,441.0,3.08,1.91,2234.33,6767275.01,2402.32,6873312.52,1439.84,4476529.22,2043.65,5122131.43
Pirituba,102,3,4,2,409000.0,0.409,4009.803921568628,Avenida Raimundo Pereira de Magalhães,5092040.0,355030.863000003,PIRITUBA,1.0,0.0,180.0,595.0,3.31,3.41,1131.61,2545319.74,2016.73,2753218.22,812.13,1489882.32,1657.96,1639809.47
Vila Cordeiro,177,3,5,2,1500000.0,1.5,8474.57627118644,Rua Nicolau Barreto,3047010.0,355030.835000128,ITAIM BIBI,1.0,0.0,293.0,790.0,2.7,1.54,3690.48,17882628.59,4174.95,18208800.47,2814.8,13110492.02,3631.68,13950101.9
Parque Boturussu,210,3,2,6,250000.0,0.25,1190.4761904761904,Rua Salvador Fontoura,3803040.0,355030.828000038,ERMELINO MATARAZZO,1.0,0.0,76.0,266.0,3.5,3.93,484.01,572294.68,1149.53,594871.55,397.93,415497.57,1016.94,432517.81
Jardim Europa,200,3,3,2,13000.0,0.013,65.0,Rua Inglaterra,1447020.0,355030.86200011,PINHEIROS,1.0,0.0,115.0,360.0,3.13,2.87,21545.71,1577883376.43,26081.65,1374996829.42,11050.67,882338714.47,15470.93,1168079134.43
Alto da Lapa,440,4,6,7,2200000.0,2.2,5000.0,Rua Peribebuí,5084000.0,355030.888000024,VILA LEOPOLDINA,1.0,0.0,179.0,579.0,3.23,1.74,6079.22,25430539.83,6113.37,25364246.2,3207.35,17997615.47,4483.75,19440572.35
Vila Formosa,225,2,2,2,780000.0,0.78,3466.6666666666665,Avenida João XXIII,3361000.0,355030.885000055,VILA FORMOSA,1.0,0.0,252.0,784.0,3.11,2.6,1339.19,1738955.67,1394.53,1733620.23,866.39,1244738.56,1211.5,1322620.47
Quinta da Paineira,350,3,5,6,980000.0,0.98,2800.0,Rua Taiaçupeba,3150030.0,355030.893000026,VILA PRUDENTE,1.0,0.0,204.0,505.0,2.48,1.07,2373.48,4383244.48,2720.17,4078732.74,1875.93,3772606.52,2365.08,3598973.06
Vila Jaguara,220,3,3,2,750000.0,0.75,3409.090909090909,Rua Coronel Virgílio dos Santos,5115000.0,355030.840000008,JAGUARA,1.0,0.0,339.0,982.0,2.9,1.77,3014.74,8415832.79,3223.96,8325078.15,1846.2,5631028.02,2561.95,5980980.19
Alto da Boa Vista,386,4,4,5,1680000.0,1.68,4352.331606217616,Rua da Paz,4844676.0,355030.871000093,SANTO AMARO,1.0,0.0,198.0,473.0,2.39,1.71,4225.59,18961606.96,4498.21,18958624.03,3010.53,14818143.1,3791.04,15703463.98
