bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Jardim Europa,952,3,5,10,22000000.0,22.0,23109.243697479,Rua França,1446010.0,355030.845000052,JARDIM PAULISTA,1.0,0.0,279.0,600.0,2.15,1.35,10382.83,162932733.32,11098.89,166234683.76,7280.14,112158881.36,9291.32,124485055.68
Jardim Carlu,177,3,4,5,650000.0,0.65,3672.316384180791,Rua Marques,2423030.0,355030.85100006,MANDAQUI,1.0,0.0,177.0,591.0,3.34,4.19,2016.88,4420666.06,2137.65,4427248.84,1123.78,2574092.7,1647.02,2911718.39
Planalto Paulista,309,3,5,2,2300000.0,2.3,7443.365695792881,Avenida Odila,4058020.0,355030.877000099,SAÚDE,1.0,0.0,256.0,720.0,2.81,1.6,4249.33,24499871.44,5180.14,25047413.33,2618.76,17705032.31,3977.93,21495997.85
Jardim Luzitânia,499,4,5,3,9800000.0,9.8,19639.278557114227,Rua Comandante Ismael Guilherme,4031120.0,355030.832000002,MOEMA,1.0,0.0,252.0,879.0,3.49,2.68,12214.77,230843096.72,13620.0,238293879.92,5027.85,104713404.65,7496.88,137684009.87
Vila Medeiros,200,2,3,2,648000.0,0.648,3240.0,Rua Affonso Fernandes Reis,2216020.0,355030.8920002,VILA MEDEIROS,1.0,0.0,116.0,339.0,2.92,2.19,1420.84,3605327.66,2197.57,3872889.76,867.61,1909873.22,1607.47,2351940.63
Vila Nair,124,2,2,2,650000.0,0.65,5241.935483870968,Rua Jamboaçu,4281060.0,355030.834000126,IPIRANGA,1.0,0.0,318.0,1018.0,3.2,2.41,1923.36,5775950.34,2168.9,5981493.27,1353.19,4382325.38,1833.87,5058527.75
Parque São Domingos,118,3,4,2,775000.0,0.775,6567.796610169492,Rua Professora Altina Maynardi de Araújo,5125040.0,355030.895000023, SÃO DOMINGOS,1.0,0.0,225.0,705.0,3.13,1.89,2118.96,5357865.48,2483.16,5374475.13,1428.51,3355207.91,2064.12,3536524.94
Vila Clementino,260,2,3,5,4500000.0,4.5,17307.69230769231,Rua Pedro de Toledo,4039000.0,355030.832000002,MOEMA,1.0,0.0,252.0,879.0,3.49,2.68,12214.77,230843096.72,13620.0,238293879.92,5027.85,104713404.65,7496.88,137684009.87
Vila Mariana,144,3,3,5,850000.0,0.85,5902.777777777777,Rua Pero Correia,4113040.0,355030.890000113,VILA MARIANA,1.0,0.0,188.0,634.0,3.37,2.23,4970.94,34590015.85,5163.18,34937066.75,2515.52,18065698.74,3646.53,22074354.68
Retiro Morumbi,2200,6,9,15,19800000.0,19.8,9000.0,Rua General Pereira da Cunha,5692060.0,355030.883000045,VILA ANDRADE,1.0,0.0,73.0,230.0,3.15,1.91,5178.68,44311228.36,7000.81,47199305.13,2649.65,23409666.51,4747.28,32056298.1
Jardim Marajoara,595,2,3,6,1100000.0,1.1,1848.7394957983192,Avenida Manoel dos Reis Araújo,4664000.0,355030.816000159,CAMPO GRANDE,1.0,0.0,154.0,492.0,3.19,2.5,4928.82,59704785.87,6072.31,66668393.25,2340.94,29578137.25,4789.26,48875937.57
Vila Moraes,68,2,1,1,315000.0,0.315,4632.35294117647,Rua Romão Puiggari,4164000.0,355030.868000155,SACOMÃ,1.0,0.0,255.0,772.0,3.03,2.64,1429.59,1961011.13,1500.19,1951904.63,884.8,1228448.82,1235.45,1282189.62
Conjunto Residencial Butantã,167,2,3,3,790000.0,0.79,4730.538922155689,Rua Augusto Perroni,5539020.0,355030.812000015,BUTANTÃ,1.0,0.0,139.5,429.0,3.08,1.9,2156.695,5587210.83,2447.245,5624721.4399999995,1611.87,3989046.17,2080.9849999999997,4169447.1450000005
Santana,250,2,3,5,1200000.0,1.2,4800.0,Rua Alphonsus de Guimaraens,2404030.0,355030.870000035,SANTANA,1.0,0.0,168.0,398.0,2.37,2.56,3076.59,7126660.96,3250.74,6962922.59,2150.51,6496856.6,2779.93,6649172.01
Vila Rui Barbosa,60,1,1,2,270000.0,0.27,4500.0,Rua Maestro Vasconcelos Chaves,3734010.0,355030.818000185,CANGAIBA,1.0,0.0,170.0,567.0,3.34,2.58,1276.68,4189418.34,1550.25,4666450.85,752.09,2108747.08,1305.71,2941038.61
Vila Bela,75,2,3,2,440000.0,0.44,5866.666666666667,Rua Paramu,3147100.0,355030.893000021,VILA PRUDENTE,1.0,0.0,252.0,733.0,2.91,2.08,1377.26,3061883.37,1752.87,3239432.11,992.13,1911548.74,1560.4,2120199.12
Vila Mariana,144,3,2,5,890000.0,0.89,6180.555555555556,Rua Pero Correia,4113040.0,355030.890000113,VILA MARIANA,1.0,0.0,188.0,634.0,3.37,2.23,4970.94,34590015.85,5163.18,34937066.75,2515.52,18065698.74,3646.53,22074354.68
São Lucas,140,2,2,1,350000.0,0.35,2500.0,Rua Paragominas,3224090.0,355030.893000019,VILA PRUDENTE,1.0,0.0,302.0,898.0,2.97,3.04,1479.06,1784782.55,1503.96,1777355.81,986.27,1263835.85,1287.99,1261855.41
Caxingui,308,4,4,7,1319500.0,1.3195,4284.090909090909,Rua Engenheiro Elias Machado de Almeida,5517070.0,355030.812000115,BUTANTÃ,1.0,0.0,107.0,341.0,3.19,2.4,7154.8,74677408.74,7655.64,76084677.93,3601.73,44623181.99,5425.58,57378407.25
Perdizes,130,2,2,1,900000.0,0.9,6923.076923076923,Rua Wanderley,5011000.0,355030.860000013,PERDIZES,1.0,0.0,140.0,330.0,2.36,1.32,5248.64,37383151.38,5609.24,37933000.95,3707.28,24118833.45,4582.2,25808578.82
Indianópolis,203,2,2,2,1250000.0,1.25,6157.635467980295,Avenida Iraí,4082000.0,355030.877000153,SAÚDE,1.0,0.0,164.0,446.0,2.72,2.01,4754.72,25986287.41,5063.47,26111184.11,2878.71,15492008.34,3724.85,16898328.63
Alto de Pinheiros,658,3,4,4,2300000.0,2.3,3495.4407294832827,Rua Berlioz,5467000.0,355030.802000049,ALTO DE PINHEIROS,1.0,0.0,171.0,413.0,2.42,1.47,4759.61,26164013.25,5425.96,26211726.64,3062.08,20853640.34,4598.73,24264507.06
Vila Formosa,136,2,1,1,405000.0,0.405,2977.9411764705883,Rua Irmã Clotilde,3365060.0,355030.885000013,VILA FORMOSA,1.0,0.0,270.0,856.0,3.17,2.22,1152.9,1129582.0,1255.17,1101301.99,721.97,851285.33,1128.74,871818.09
Morumbi,615,4,6,6,3700000.0,3.7,6016.260162601626,Rua Emílio Pedutti,5613010.0,355030.854000116,MORUMBI,1.0,0.0,106.0,408.0,3.85,2.28,15305.01,207678423.25,16223.31,205216636.01,6853.75,112947441.16,9649.01,132116006.06
Vila Bela,36,2,1,1,196000.0,0.196,5444.444444444444,Rua Ipomeias,3201050.0,355030.893000051,VILA PRUDENTE,1.0,0.0,293.0,868.0,2.96,2.56,1116.38,2314345.49,1521.4,2538827.57,920.4,1657066.33,1393.48,1849951.53
Vila da Saúde,160,4,6,3,850000.0,0.85,5312.5,Rua Artur Thiré,4146000.0,355030.877000109,SAÚDE,1.0,0.0,232.0,751.0,3.24,2.23,1122.0,1850542.19,1399.48,1920243.7,937.96,1605658.43,1326.01,1755704.9
Cambuci,240,3,4,2,1700000.0,1.7,7083.333333333333,Rua Simão Dias da Fonseca,1539020.0,355030.814000038,CAMBUCI,1.0,0.0,181.0,477.0,2.64,1.72,3167.67,8220814.29,3221.06,8187213.28,2118.13,7087281.33,2665.93,7460894.52
Santo Amaro,224,3,3,2,1500000.0,1.5,6696.428571428572,Rua Joaquim Lima de Moraes,4710140.0,355030.871000046,SANTO AMARO,1.0,0.0,131.0,316.0,2.41,1.95,2223.2,6296599.14,2721.86,6352153.39,1697.89,4428152.85,2378.62,4585039.1
Vila Leopoldina,120,2,3,1,800000.0,0.8,6666.666666666667,Rua Nanuque,5302030.0,355030.888000008,VILA LEOPOLDINA,1.0,0.0,185.0,532.0,2.88,1.44,4403.6,27841429.35,4681.99,28300747.69,2378.03,14994659.54,3511.97,18171004.03
Jardim das Vertentes,150,3,3,2,700000.0,0.7,4666.666666666667,Rua Olímpia Lemes da Silva,5541040.0,355030.894000038,VILA SÔNIA,1.0,0.0,84.0,277.0,3.3,1.56,3450.05,120778862.38,4458.52,152068521.19,2463.13,120015916.36,4132.77,194971806.5
Jardim Guedala,736,5,3,12,4499000.0,4.499,6112.771739130435,Rua Votuverava,5604020.0,355030.854000124,MORUMBI,1.0,0.0,49.0,192.0,3.92,4.12,11536.12,229163686.73,13145.81,240236824.92,4636.39,96054890.24,7727.31,136582178.7
Vila Califórnia,143,2,1,1,380000.0,0.38,2657.3426573426573,Rua Guaçuma,3215020.0,355030.893000136,VILA PRUDENTE,1.0,0.0,231.0,729.0,3.16,1.89,1371.84,1369620.37,1467.11,1324757.99,869.05,1014210.36,1221.98,994776.26
Maranhão,110,3,4,1,650000.0,0.65,5909.090909090909,Rua Padre Germano Mayer,3089070.0,355030.880000058,TATUAPE,1.0,0.0,146.0,447.0,3.06,2.25,1518.0,3687558.72,1910.59,3892938.42,1063.57,2173997.89,1525.82,2414407.63
Pacaembu,2500,3,7,12,12500000.0,12.5,5000.0,Rua Itassuce,1234040.0,355030.826000019,CONSOLAÇÃO,1.0,0.0,184.79032258064515,589.8709677419355,3.196370967741936,2.5503225806451613,8826.705725806452,385511500.78338706,9396.174838709678,397249613.83516127,4479.225403225807,155875333.5027419,5994.680322580646,196014393.7355645
Vila Congonhas,450,4,10,8,1340999.0,1.340999,2979.9977777777776,Avenida Barão do Rego Barros,4612040.0,355030.815000058,CAMPO BELO,1.0,0.0,124.0,273.0,2.2,1.76,4250.35,16717398.37,4504.64,16570827.54,2811.79,12190593.09,3504.56,12769047.67
Vila Parque Jabaquara,63,2,1,1,390000.0,0.39,6190.476190476191,Rua das Guassatungas,4330010.0,355030.838000377,JABAQUARA,1.0,0.0,63.0,214.0,3.4,2.92,682.35,626625.75,999.72,600181.44,690.4,509616.7,998.42,428824.26
Vila Dom Pedro I,300,7,3,2,1300000.0,1.3,4333.333333333333,Rua Marquês Olinda,4277000.0,355030.834000087,IPIRANGA,1.0,0.0,262.0,750.0,2.86,2.38,2527.37,6816246.39,2713.82,6813091.5,1692.84,4758312.84,2247.28,5071377.58
Vila Guedes,140,3,2,3,619000.0,0.619,4421.428571428572,Rua Manuel Rodrigues da Costa,5134160.0,355030.895000045, SÃO DOMINGOS,1.0,0.0,399.0,1237.0,3.1,2.43,1284.43,1430116.52,1341.59,1417040.71,810.17,1023786.0,1174.85,1056222.18
Brooklin Paulista,260,3,2,4,2400000.0,2.4,9230.76923076923,Rua Luisiania,4560020.0,355030.83500005,ITAIM BIBI,1.0,0.0,205.0,585.0,2.85,1.66,6787.27,43955440.54,7521.03,43184594.05,4410.3,31987363.62,5930.72,34002524.42
Jardim Mangalot,180,3,4,2,699000.0,0.699,3883.3333333333335,Rua General Lauro Cavalcanti de Farias,5135000.0,355030.895000017, SÃO DOMINGOS,1.0,0.0,240.0,762.0,3.18,1.98,1407.04,1510953.97,1461.86,1489590.87,898.79,1097129.3,1238.87,1090926.9
Paraíso do Morumbi,160,4,3,2,800000.0,0.8,5000.0,Rua Itapacurai,5705240.0,355030.883000166,VILA ANDRADE,1.0,0.0,127.0,383.0,3.02,1.67,3226.4,12690237.62,3658.51,12810023.93,2358.85,35750345.75,3272.56,46651231.56
Vila Nova Curuçá,254,2,1,6,900000.0,0.9,3543.3070866141734,Rua Lactâncio,8031310.0,355030.884000023,VILLA CURUÇA,1.0,0.0,275.0,891.0,3.24,2.11,1166.13,1197371.8,1364.63,1130027.33,739.26,803527.04,1149.97,777585.33
Vila Deodoro,240,3,3,4,1450000.0,1.45,6041.666666666667,Rua Mesquita,1544010.0,355030.814000037,CAMBUCI,1.0,0.0,231.0,609.0,2.64,1.78,3769.93,28451827.67,3976.5,29192784.95,2342.67,16231018.02,3024.17,18897850.96
Instituto de Previdência,126,3,2,2,870000.0,0.87,6904.761904761905,Avenida Benjamim Mansur,5532040.0,355030.812000015,BUTANTÃ,1.0,0.0,141.0,414.0,2.94,1.63,1918.38,4749977.08,2352.1,4804198.52,1605.81,3882816.39,2123.47,4035780.56
Parque dos Príncipes,720,3,3,6,5000000.0,5.0,6944.444444444444,Rua Sibipiruna,5396410.0,355030.867000168,RIO PEQUENO,1.0,0.0,167.0,609.0,3.65,1.28,9689.82,63596841.53,10576.47,60015120.36,4739.45,46810709.15,7588.85,53349790.8
Vila Butantã,200,4,3,5,1060000.0,1.06,5300.0,Avenida Nossa Senhora da Assunção,5359000.0,355030.867000106,RIO PEQUENO,1.0,0.0,79.0,221.0,2.8,1.93,1512.56,3951351.35,1757.24,4163706.0,1025.47,2114134.56,1367.29,2352978.23
Catumbi,125,2,3,2,749000.0,0.749,5992.0,Rua Evaristo da Veiga,3021090.0,355030.808000018,BELÉM,1.0,0.0,263.0,815.0,3.1,2.14,1695.41,3972798.66,1955.67,4074118.75,1363.57,3169848.63,1758.29,3393802.1
São Judas,150,4,3,6,765000.0,0.765,5100.0,Rua Jean Arp,4303260.0,355030.87700014,SAÚDE,1.0,0.0,363.0,1038.0,2.86,2.39,2486.47,7870100.61,2608.64,7938286.94,1682.54,5667530.78,2184.94,6262947.39
Vila Cleonice,120,3,1,2,480000.0,0.48,4000.0,Rua José Baldino,3286210.0,355030.872000068,SÃO LUCAS,1.0,0.0,233.0,792.0,3.4,2.9,1472.18,2833366.23,1610.41,2877002.82,871.48,1668964.42,1347.34,1939715.97
Pompeia,340,3,3,8,2300000.0,2.3,6764.705882352941,Rua Tucuna,5021010.0,355030.860000038,PERDIZES,1.0,0.0,156.0,327.0,2.1,1.38,3945.99,13254496.91,4304.72,12912843.94,2957.86,12222800.97,3855.99,12471986.27
Cidade Jardim,659,5,5,8,4800000.0,4.8,7283.763277693475,Rua Inocêncio Nogueira,5676030.0,355030.854000053,MORUMBI,1.0,0.0,70.0,216.0,3.09,2.17,18121.86,1781723643.14,50741.2,1374996829.42,12217.25,976628790.68,40653.97,1436259424.69
Jardim Japão,190,4,1,1,585000.0,0.585,3078.9473684210525,Rua Kobe,2137010.0,355030.889000109,VILA MARIA,1.0,0.0,251.0,765.0,3.05,2.37,1017.44,1382952.62,1276.89,1404426.65,840.02,1216885.04,1235.02,1301433.65
Água Fria,80,2,1,2,395000.0,0.395,4937.5,Rua Helvídio Gouveia,2407070.0,355030.87000021,SANTANA,1.0,0.0,50.0,149.0,2.98,1.65,5636.2,284221722.0,6553.72,325435662.02,3018.87,113127216.14,4015.1,146795930.29
Indianópolis,335,4,4,3,2490000.0,2.49,7432.835820895522,Avenida Indianópolis,4062000.0,355030.832000114,MOEMA,1.0,0.0,249.0,547.0,2.2,1.06,7085.25,38722958.96,7412.72,38082545.59,4740.89,31351025.89,6142.96,32011571.55
Cidade Jardim,480,3,4,3,3300000.0,3.3,6875.0,Rua Doutor Alberto da Silveira,5671000.0,355030.854000009,MORUMBI,1.0,0.0,84.0,237.0,2.82,1.47,5162.62,28240896.67,6023.06,27758556.73,2850.88,24539044.13,4488.62,31332943.97
Jardim Ester,150,3,2,3,650000.0,0.65,4333.333333333333,Avenida Professor José Maria Alkmin,5366000.0,355030.867000027,RIO PEQUENO,1.0,0.0,252.0,844.0,3.35,2.52,1945.29,4574263.46,2077.17,4610592.0,1231.17,3128982.96,1663.08,3509053.61
Piqueri,224,3,4,4,725000.0,0.725,3236.6071428571427,Rua Izabel de Oliveira,2914120.0,355030.843000273,JARDIM ÂNGELA,1.0,0.0,373.0,1269.0,3.4,2.55,762.84,381697.24,883.67,335240.57,546.64,335164.19,820.73,278182.95
Jardim Luzitânia,300,3,4,3,5250000.0,5.25,17500.0,Largo da Batalha,4031050.0,355030.832000002,MOEMA,1.0,0.0,244.95833333333334,844.3958333333334,3.4200000000000004,2.5285416666666674,12095.425416666667,321908964.0391666,13446.309583333334,338246453.719375,5027.211458333333,134754687.49729162,7543.246458333334,183446875.5475
Parque Jabaquara,350,3,4,4,800000.0,0.8,2285.714285714286,Rua Brigadeiro Gama Barcelos,4355070.0,355030.815000033,CAMPO BELO,1.0,0.0,212.0,614.0,2.9,1.71,1858.04,9673132.29,3939.05,12336481.16,1529.29,6282204.64,3021.41,7909070.92
Vila Moraes,120,2,1,2,540000.0,0.54,4500.0,Rua Romão Puiggari,4164000.0,355030.868000155,SACOMÃ,1.0,0.0,255.0,772.0,3.03,2.64,1429.59,1961011.13,1500.19,1951904.63,884.8,1228448.82,1235.45,1282189.62
Bosque da Saúde,241,3,6,4,1540000.0,1.54,6390.041493775933,Rua Ribeiro Lacerda,4150000.0,355030.827000002,CURSINO,1.0,0.0,237.0,731.0,3.08,1.65,5144.41,39572706.07,5516.85,40386654.55,2845.95,19920999.44,3941.44,23278190.83
Vila Olímpia,200,2,3,2,2900000.0,2.9,14500.0,Avenida Doutor Cardoso de Melo,4548000.0,355030.835000014,ITAIM BIBI,1.0,0.0,281.0,749.0,2.67,1.72,5084.41,22908524.74,5331.04,22704192.5,3386.15,18140427.35,4228.02,19092827.06
Interlagos,280,3,6,4,1500000.0,1.5,5357.142857142857,Avenida Benedito Ferreira Silva,4786000.0,355030.879000044,SOCORRO,1.0,0.0,312.0,1007.0,3.23,1.84,3890.91,25763254.55,5468.31,27590348.38,2040.13,13522681.99,3953.01,18650599.22
Jardim dos Pinheiros,179,3,4,3,820000.0,0.82,4581.005586592179,Rua Alessandro Araldi,5138260.0,355030.86300001,PIRITUBA,1.0,0.0,259.0,876.0,3.38,1.31,2306.45,8746905.5,3318.73,9229035.03,1801.56,5639696.6,2797.25,5972122.42
Chácara Santo Antônio (Zona Sul),750,4,6,5,3100000.0,3.1,4133.333333333333,Rua Pires de Oliveira,4716010.0,355030.871000017,SANTO AMARO,1.0,0.0,218.0,564.0,2.59,1.57,4035.14,29485328.91,5026.63,31759433.56,2872.43,36156379.37,4409.22,48759811.1
Cidade Jardim,450,4,5,4,2200000.0,2.2,4888.888888888889,Avenida das Magnólias,5674000.0,355030.854000128,MORUMBI,1.0,0.0,85.0,316.0,3.72,2.35,9390.13,203454625.47,17351.33,238574929.78,6830.71,976628790.68,13566.54,1436259424.69
Alto de Pinheiros,439,3,4,5,3180000.0,3.18,7243.735763097949,Avenida Diógenes Ribeiro de Lima,5458000.0,355030.802000017,ALTO DE PINHEIROS,1.0,0.0,160.49222797927462,530.901554404145,3.2944041450777206,2.242279792746114,9874.841347150259,162113145.14036268,11142.04974093264,171877798.79606217,4811.942642487046,80499461.70569947,7375.4356994818645,106710793.17476684
Alto de Pinheiros,398,4,5,3,5950000.0,5.95,14949.748743718594,Rua Alberto Faria,5459000.0,355030.802000017,ALTO DE PINHEIROS,1.0,0.0,231.0,798.0,3.45,2.34,9914.58,241108526.78,12054.04,267486877.04,4452.73,99030343.89,7677.85,146106011.47
Sumarezinho,109,3,2,2,1830000.0,1.83,16788.990825688074,Avenida das Corujas,5442050.0,355030.802000068,ALTO DE PINHEIROS,1.0,0.0,234.0,678.0,2.9,2.05,4148.02,23652953.79,4472.98,24054258.52,2712.15,15947807.79,3671.46,18071272.42
Jardim Popular,104,2,2,2,425000.0,0.425,4086.538461538461,Rua Almerindo Alziro Paganini,3671000.0,355030.86400007,PONTE RASA,1.0,0.0,138.0,432.0,3.13,2.55,996.38,2650623.27,2083.33,3287367.18,815.12,2005613.47,1754.58,2672585.19
Planalto Paulista,100,2,3,2,850000.0,0.85,8500.0,Alameda dos Uapês,4067030.0,355030.877000098,SAÚDE,1.0,0.0,283.0,836.0,2.95,2.15,3411.08,17298378.0,4160.93,17983926.95,2299.4,11451071.27,3422.87,13203826.91
Mooca,200,3,2,2,660000.0,0.66,3300.0,Rua Pirajá,3190170.0,355030.875000028,MOOCA,1.0,0.0,221.8181818181818,692.1818181818181,3.109545454545455,2.3004545454545453,2435.689090909091,209685054.90727273,2674.2368181818183,230278945.3522727,1460.933181818182,69059183.84545454,2032.3559090909084,100293160.42409088
Siciliano,130,3,3,3,1100000.0,1.1,8461.538461538461,Rua José Alencar Castelo Branco,5052090.0,355030.848000073,LAPA,1.0,0.0,155.0,461.0,2.97,1.61,4545.35,19753617.24,4825.55,19618293.84,2841.64,14015419.36,3806.55,15104933.08
Vila Progredior,342,4,7,5,2600000.0,2.6,7602.339181286549,Rua Engenheiro Janot Pacheco,5617100.0,355030.854000017,MORUMBI,1.0,0.0,106.0,368.0,3.47,2.02,10690.47,95863644.54,10896.06,95463249.36,5138.18,56954318.03,7531.31,65496612.35
Alto da Lapa,212,3,3,3,1980000.0,1.98,9339.622641509432,Rua Princesa Leopoldina,5081090.0,355030.848000053,LAPA,1.0,0.0,202.0,602.0,2.98,1.71,6405.26,36047301.16,6774.15,35622188.69,3867.12,25115929.0,5095.83,26839026.77
Aclimação,311,4,6,3,2200000.0,2.2,7073.954983922829,Rua Doutor João Maia,4109130.0,355030.849000048,LIBERDADE,1.0,0.0,317.0,916.0,2.89,2.34,4876.36,57170519.67,5240.02,59536517.09,3013.53,35892999.06,3863.97,42746730.01
Vila Clementino,300,3,3,2,1600000.0,1.6,5333.333333333333,Rua Árabe,4042070.0,355030.877000133,SAÚDE,1.0,0.0,187.0,452.0,2.42,1.94,3449.7,13122019.18,3794.67,13125192.04,2631.93,11082744.8,3263.29,11682746.04
Butantã,300,3,2,2,1600000.0,1.6,5333.333333333333,Rua Moura Brasil,5507050.0,355030.812000128,BUTANTÃ,1.0,0.0,109.0,345.0,3.17,2.27,9327.34,140584753.04,9775.77,142982948.92,4619.9,63557543.25,5929.76,73849977.6
Vila Monumento,92,3,2,2,580000.0,0.58,6304.347826086957,Rua Vigário João Álvares,1551040.0,355030.834000071,IPIRANGA,1.0,0.0,341.0,936.0,2.74,2.28,4180.64,14483267.36,4255.52,14423850.98,2417.49,9922368.74,3173.84,10627235.34
Cupecê,218,3,5,3,1150000.0,1.15,5275.229357798165,Rua Vicente José de Almeida,4652244.0,355030.822000145,CIDADE ADEMAR,1.0,0.0,302.0,928.0,3.07,2.43,2158.09,6217710.78,2270.88,6286782.14,1323.53,3281443.85,1749.89,3592915.28
Bosque da Saúde,175,3,6,3,1060000.0,1.06,6057.142857142857,Rua Guararema,4136030.0,355030.827000027,CURSINO,1.0,0.0,220.43636363636364,683.9454545454546,3.1045454545454545,2.302,3985.8116363636373,66491931.98036364,4312.181636363636,70047469.6410909,2281.527272727273,32137536.242545456,3214.5676363636358,42734456.2330909
Morro dos Ingleses,236,3,1,4,1150000.0,1.15,4872.881355932203,Rua dos Franceses,1329010.0,355030.807000012,BELA VISTA,1.0,0.0,136.0,388.0,2.85,2.2,6550.81,196752306.75,7302.54,213982113.32,3186.21,68443823.96,4180.81,85698353.09
Granja Julieta,483,4,5,3,3900000.0,3.9,8074.534161490683,Rua Barão de Itaim,4720030.0,355030.871000016,SANTO AMARO,1.0,0.0,210.0,662.0,3.15,1.87,7057.2,73222594.11,10150.77,73922844.01,3668.12,41144930.1,6658.55,54816470.81
Vila Madalena,170,3,2,2,1280000.0,1.28,7529.411764705882,Rua João Batista Leme da Silva,5449030.0,355030.80200001,ALTO DE PINHEIROS,1.0,0.0,256.0,750.0,2.93,2.05,5275.82,37108189.91,5604.19,37579532.78,3254.92,24000150.83,4310.58,27239774.12
Vila Pereira Barreto,145,3,2,2,579900.0,0.5799,3999.310344827586,Rua Celso Vieira,2919120.0,355030.863000029,PIRITUBA,1.0,0.0,273.0,877.0,3.21,2.01,2857.81,8417900.37,2966.48,8415620.53,1698.97,5009053.29,2240.83,5393037.28
Campo Belo,160,3,3,4,1099000.0,1.099,6868.75,Rua Acruás,4612090.0,355030.815000059,CAMPO BELO,1.0,0.0,112.0,324.0,2.89,1.92,4338.9,24222145.98,5009.87,24610400.6,2371.54,13156143.1,3604.74,15564009.58
Vila Clementino,140,3,3,2,1500000.0,1.5,10714.285714285714,Avenida Onze de Junho,4041000.0,355030.877000174,SAÚDE,1.0,0.0,278.0,804.0,2.89,1.82,5519.27,34093034.0,6393.15,33903430.12,3259.73,21664814.25,4682.38,24463973.72
Instituto de Previdência,120,4,2,4,1280000.0,1.28,10666.666666666666,Rua Domingos Barbieri,5531060.0,355030.812000102,BUTANTÃ,1.0,0.0,158.0,466.0,2.95,1.88,3862.22,15713752.39,4123.18,15699409.57,2606.5,12129815.34,3657.64,13180242.78
Sumaré,141,3,2,2,1490000.0,1.49,10567.375886524822,Rua Paris,1257040.0,355030.860000054,PERDIZES,1.0,0.0,219.13333333333333,615.7444444444444,2.8032222222222223,1.8836666666666666,5940.671888888888,73507490.37188889,6696.776222222222,77124769.5157778,3754.043222222223,47974397.971666664,5150.659666666666,58998894.70266668
Vila Araguaia,250,2,1,1,500000.0,0.5,2000.0,Rua Raimundo Mattiuzzo,3735000.0,355030.818000001,CANGAIBA,1.0,0.0,105.0,324.0,3.09,2.16,1081.89,870301.22,1124.73,856439.98,694.37,779373.09,1012.92,814436.37
Vila Fachini,95,2,2,2,370000.0,0.37,3894.7368421052633,Rua Belarmino Barreto,4326090.0,355030.838000352,JABAQUARA,1.0,0.0,98.0,334.0,3.41,2.86,1558.1,2281310.98,1590.56,2277164.71,949.97,1448792.23,1357.76,1517367.65
Saúde,180,3,2,2,797000.0,0.797,4427.777777777777,Avenida Afonso Mariano Fagundes,4054000.0,355030.87700001,SAÚDE,1.0,0.0,278.0,793.0,2.85,1.9,2170.62,12196962.06,3244.25,14760498.87,1217.81,6341868.81,2489.15,9807470.07
Vila Ida,456,4,4,4,4500000.0,4.5,9868.421052631578,Rua Engenheiro Sá Rocha,5454020.0,355030.802000006,ALTO DE PINHEIROS,1.0,0.0,206.0,645.0,3.13,2.46,6052.14,44779104.68,7890.76,43868986.68,3670.99,91659087.33,6182.71,138974972.05
Brooklin,144,3,4,2,800000.0,0.8,5555.555555555556,Rua Doutor Domingos de Sylos,4623110.0,355030.815000068,CAMPO BELO,1.0,0.0,230.0,601.0,2.61,1.57,2940.85,13791167.97,4730.03,13718170.64,2239.83,11371896.5,4026.03,13255309.35
Chácara Flora,1505,5,8,4,25000000.0,25.0,16611.295681063122,Rua Utinga,4644060.0,355030.871000079,SANTO AMARO,1.0,0.0,197.0,704.0,3.5699999999999994,2.29,29002.79,1781723643.14,31566.57,1374996829.42,11628.76,976628790.68,18646.12,1436259424.69
Jardim Panorama,356,3,5,3,2280000.0,2.28,6404.494382022472,Rua Acutiranha,5679000.0,355030.854000127,MORUMBI,1.0,0.0,146.0,519.0,3.55,2.18,6310.68,60117754.01,7312.38,62353213.49,4152.0,37622222.89,5772.9,42968341.05
Lar São Paulo,253,3,6,6,1300000.0,1.3,5138.339920948617,Rua Francisco Carvalho Henriques,5639110.0,355030.89400014,VILA SÔNIA,1.0,0.0,102.0,299.0,2.93,1.79,4488.53,8677287.91,4532.97,8560597.09,2761.09,8323875.41,3805.44,7493770.77
Jardim Guedala,1000,5,7,6,12500000.0,12.5,12500.0,Avenida Lopes de Azevedo,5603000.0,355030.854000123,MORUMBI,1.0,0.0,90.0,306.0,3.4,2.49,17582.33,384517384.38,19535.93,389133284.44,6386.15,187147794.5,11567.36,279633410.7
Jardim Leonor,341,4,4,4,1300000.0,1.3,3812.316715542522,Rua Doutor Cristiano de Sousa,5658010.0,355030.854000068,MORUMBI,1.0,0.0,114.0,351.0,3.08,1.88,7000.39,60728110.68,8400.47,61116494.72,4332.39,44645313.55,6189.13,52320631.2
Interlagos,380,3,8,6,1680000.0,1.68,4421.052631578948,Avenida Mahatma Gandhi,4789000.0,355030.82300017,CIDADE DUTRA,1.0,0.0,156.0,571.0,3.66,1.7,5482.82,22144284.9,5858.36,21456282.8,3016.31,15037340.73,4173.92,15979195.91
